node_1|node_2|edge|chunk_id
third formation sediment|hanoi trough region (htr)|belongs to|8c8ea02594854884a84593411403b3c8
total|2d seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
shell|2d seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
bp|seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
idemitsu|2d seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
sceptre|seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
ipl|seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
gecoprakla|seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
pvn|seismic survey|has conducted|047b7fcceb2a4f818e3b341c8eefdb14
pvn|seismic survey|conducts|c09ca9793b374c7cb3c9c5c7f76a2084
pcosb|blocks 102, 106|conducts 2D and 3D surveys|c09ca9793b374c7cb3c9c5c7f76a2084
vn-tq|joint exploration agreement|signs|c09ca9793b374c7cb3c9c5c7f76a2084
pidc (pvep)|survey|conducts|c09ca9793b374c7cb3c9c5c7f76a2084
vgp|seismic survey|implements|c09ca9793b374c7cb3c9c5c7f76a2084
exxonmobil|detonates|3D seismic survey|c09ca9793b374c7cb3c9c5c7f76a2084
exxonmobil|reprocesses|30 lines of 2D seismic survey|c09ca9793b374c7cb3c9c5c7f76a2084
pvn|2d seismic survey|conducts|c09ca9793b374c7cb3c9c5c7f76a2084
pvn|2d seismic survey|conducts|c09ca9793b374c7cb3c9c5c7f76a2084
pvn|2d seismic survey|conducts|c09ca9793b374c7cb3c9c5c7f76a2084
sông hồng basin|exploration lines|has|38f60a7ef16341248aa59ac74c077864
sông hồng basin|total of 59 exploration wells|has|38f60a7ef16341248aa59ac74c077864
exploration well|targeting reservoir a|has|38f60a7ef16341248aa59ac74c077864
exploration well|targeting pliocene to oligocene sandstone and miocene carbonate|has|38f60a7ef16341248aa59ac74c077864
cnooc|drilled 2 exploration wells weizhou 14-2-1 and weizhou 14-2-2|has|38f60a7ef16341248aa59ac74c077864
weizhou 14-2-1 well|discovered gas in the ancient third member mudstone|has|38f60a7ef16341248aa59ac74c077864
weizhou 14-2-1 well|effective gas-bearing thickness of about 7.5 m|has|38f60a7ef16341248aa59ac74c077864
total|drilled 03 exploration wells: 103t-h-1x, 103t-g-1x, and 107t-pa-1x|has|38f60a7ef16341248aa59ac74c077864
103t-h-1x well|discovered in the middle-lower miocene sandstone and sandstone conglomerate|has|38f60a7ef16341248aa59ac74c077864
107t-pa-1x well|did not discover hydrocarbons|does not have|38f60a7ef16341248aa59ac74c077864
well 107t-pa-1x|petroleum|not detected|c0f4f0fe56734af6b4ef9a217023e801
well 102-cq-1x|petroleum|detected in Mioxen - Oligoxen formation|c0f4f0fe56734af6b4ef9a217023e801
well 102-hd-1x|petroleum|detected in Mioxen - Oligoxen formation|c0f4f0fe56734af6b4ef9a217023e801
well 103-hol-1x|weak gas flow|tested reservoir|c0f4f0fe56734af6b4ef9a217023e801
well 107-bal-1x|large gas flow|detected from sand formations|c0f4f0fe56734af6b4ef9a217023e801
bạch đằng petroleum exploration production|gas-condensate, dry gas reservoirs|detected in Mioxen Giữa formation|c0f4f0fe56734af6b4ef9a217023e801
well 103-hal-1x|gas-condensate, dry gas reservoirs|detected in Hắc Long formation|c0f4f0fe56734af6b4ef9a217023e801
well 103-dl-1x|gas-condensate, dry gas reservoirs|detected in Địa Long formation|c0f4f0fe56734af6b4ef9a217023e801
bạch đằng petroleum exploration production|well 107-pl-1x|drilled|c0f4f0fe56734af6b4ef9a217023e801
depth 3.201m|gas-condensate reservoir|discovered|6f5e7b5bbf0b40b2bd06f50a0d688f57
gas-condensate reservoir|dry gas|found in|6f5e7b5bbf0b40b2bd06f50a0d688f57
pvep|well 107-pl-1x|drilled|6f5e7b5bbf0b40b2bd06f50a0d688f57
pvep|gk 107-kỳ lân-1x|drilled|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 107-kỳ lân-1x|mioxen upper, mioxen middle|sandstone formations|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 107-kỳ lân-1x|gas|discovered in|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 107-kỳ lân-1x|dst#1|tested|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 107-kỳ lân-1x|dst#2|tested|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 102-tb-1x|gas-condensate reservoir|received|6f5e7b5bbf0b40b2bd06f50a0d688f57
gk 106-yt-1x|crude oil signs|detected at|6f5e7b5bbf0b40b2bd06f50a0d688f57
mioxen giữa|dấu hiệu dầu thô|indicates|d7b45b8649fa45c983a645fff2cde8f0
mioxen giữa|dấu hiệu dầu khí|indicates|d7b45b8649fa45c983a645fff2cde8f0
móng đá vôi|thiếu vắng trầm tích oligoxen|due to|d7b45b8649fa45c983a645fff2cde8f0
hàm rồng|móng đá vôi|constitutes|d7b45b8649fa45c983a645fff2cde8f0
gk 106-ds-1x|móng đá vôi|detects oil|d7b45b8649fa45c983a645fff2cde8f0
pvep|lô 102/10&106/10|operates|d7b45b8649fa45c983a645fff2cde8f0
pvep|hrn-1x|conducts drilling|d7b45b8649fa45c983a645fff2cde8f0
pvep|sp-1x|conducts drilling|d7b45b8649fa45c983a645fff2cde8f0
exploration block 102/10&106/10, pvep|hrn-1x well|drilling operation|8ea238aabedf45fb8d685ea666b54b54
exploration block 102/10&106/10, pvep|sp-1x well|drilling operation|8ea238aabedf45fb8d685ea666b54b54
hrn-1x well|hàm rồng đông formation|evaluated as prospective for hydrocarbons|8ea238aabedf45fb8d685ea666b54b54
sp-1x well|completion|immediately after|8ea238aabedf45fb8d685ea666b54b54
106/10-hrn-1x well|móng cacbonat rock|rock type|8ea238aabedf45fb8d685ea666b54b54
106/10-hrn-1x well|well depth|achieved|8ea238aabedf45fb8d685ea666b54b54
106/10-hrn-1x well|maximum flow rate|flow rate|8ea238aabedf45fb8d685ea666b54b54
106/10-hrn-1x well|condensate barrels|flow rate|8ea238aabedf45fb8d685ea666b54b54
102/10-sp-1x well|oligoxen-mioxen sandstone|rock type|8ea238aabedf45fb8d685ea666b54b54
106/10-hrd-1x well|móng cacbonat rock|rock type|8ea238aabedf45fb8d685ea666b54b54
carbon dioxide (co2)|hydrogen sulfide (h2s)|coexists with|0419c0ca1a744affa547b98c8b243786
carbonate reservoir|well|is tested in|0419c0ca1a744affa547b98c8b243786
well|gas flow rate|has maximum|0419c0ca1a744affa547b98c8b243786
well|condensate barrels|has|0419c0ca1a744affa547b98c8b243786
hạ mai-1x well|santos contractor|is drilled by|0419c0ca1a744affa547b98c8b243786
hạ mai-1x well|exploration|is exploration of|0419c0ca1a744affa547b98c8b243786
hạ mai-1x well|2009|is drilled in|0419c0ca1a744affa547b98c8b243786
hạ mai-1x well|4 gas reservoirs|has|0419c0ca1a744affa547b98c8b243786
hạ mai-1x well|log interpretation data|results in|0419c0ca1a744affa547b98c8b243786
santos contractor|slamander contractor|is contractor with|0419c0ca1a744affa547b98c8b243786
sông hồng|bể|is located in|f282171b02c8488b81f256a36342f9d4
shell|exploration wells|performs|f282171b02c8488b81f256a36342f9d4
exploration well 112-bt-1x|incident|encounters|f282171b02c8488b81f256a36342f9d4
exploration well 112-bt-1xrdr|gas in oligocene - miocene sandstone|contains|f282171b02c8488b81f256a36342f9d4
omv|exploration well gk 111-he-1x|drills|f282171b02c8488b81f256a36342f9d4
vgp joc|exploration well 113-bd-1x|conducts|f282171b02c8488b81f256a36342f9d4
vgp joc|exploration well 113-bv-1x|conducts|f282171b02c8488b81f256a36342f9d4
exploration well 113-bv-1x|bao vang gas|discovers|f282171b02c8488b81f256a36342f9d4
exploration well 113-bv-1x|total of 2 gas reservoirs|tests with|f282171b02c8488b81f256a36342f9d4
phase 2|exploration well 111-bv-2x|conducts|f282171b02c8488b81f256a36342f9d4
gas reservoir|gas flow rate|has|a525c1c6d8e845319952801092a2d426
coal reservoir|flow|yields|a525c1c6d8e845319952801092a2d426
oil reservoir|co2 content|high|a525c1c6d8e845319952801092a2d426
production sharing contract|eni, chrisenergy, neon|between|a525c1c6d8e845319952801092a2d426
well 105-cl-1x|august 2013|drilled in|a525c1c6d8e845319952801092a2d426
well 105-cl-1x|flow|has|a525c1c6d8e845319952801092a2d426
well 105-cl-1x|depth 2399-2437mmd|at|a525c1c6d8e845319952801092a2d426
well 105-cl-1x|0.4 mmcf/d|low|a525c1c6d8e845319952801092a2d426
eni|gk 114-kèn bầu-1x|contractor for drilling|a525c1c6d8e845319952801092a2d426
gk 114-kèn bầu-1x|well bottom depth|reached|a525c1c6d8e845319952801092a2d426
drilling well|commercial gas|has discovery|a525c1c6d8e845319952801092a2d426
red river basin|exploration and exploitation of oil and gas|Operates|a525c1c6d8e845319952801092a2d426
vietnam oil and gas group|vietnam national oil and gas group|later known as|a525c1c6d8e845319952801092a2d426
drilling well|formation|evaluated at|f7d1f3317d9a4b82b8858209be4cd48a
contractor|drilling well|performed|f7d1f3317d9a4b82b8858209be4cd48a
drilling well|exploration|has been conducted|f7d1f3317d9a4b82b8858209be4cd48a
drilling well|commercial result|achieved|f7d1f3317d9a4b82b8858209be4cd48a
operator|exploration drilling|carried out|f7d1f3317d9a4b82b8858209be4cd48a
operator|drilling well|conducted|f7d1f3317d9a4b82b8858209be4cd48a
result|gas field|discovered|f7d1f3317d9a4b82b8858209be4cd48a
drilling well|limestone layer|entered|f7d1f3317d9a4b82b8858209be4cd48a
eni|drilling well|drilled|f7d1f3317d9a4b82b8858209be4cd48a
seismic data|interpretation|survey and|f7d1f3317d9a4b82b8858209be4cd48a
eni drilling well 120-cv-1x|limestone formation|penetrates|9e55d02aec3b4b699ef0c4ac4088337c
eni drilling well 120-cv-1x|tri ton uplift belt|penetrates|9e55d02aec3b4b699ef0c4ac4088337c
eni drilling well 120-cv-1x|dry drilling result|yields|9e55d02aec3b4b699ef0c4ac4088337c
survey|seismic data|interprets|9e55d02aec3b4b699ef0c4ac4088337c
survey|entire song hong basin area|is conducted on|9e55d02aec3b4b699ef0c4ac4088337c
survey|vietnam's national waters|is conducted by|9e55d02aec3b4b699ef0c4ac4088337c
survey|foreign contractors|is conducted by|9e55d02aec3b4b699ef0c4ac4088337c
seismic activity|entire song hong basin area|has|9e55d02aec3b4b699ef0c4ac4088337c
seismic activity|approximately 1.850.819km 2d seismic lines|has|9e55d02aec3b4b699ef0c4ac4088337c
2d pvn-12 and pvn-15 survey|area lines for research purposes|has supplemented|9e55d02aec3b4b699ef0c4ac4088337c
geological survey area|northern and eastern phu khanh basin area|linked to|535c32531d304cedbbc36212c94f2cf4
survey density|0.65 km/km2|achieves|535c32531d304cedbbc36212c94f2cf4
seismic line density|uneven|most concentrated in|535c32531d304cedbbc36212c94f2cf4
northern basin area|blocks 102, 103, 106, 107|most concentrated in|535c32531d304cedbbc36212c94f2cf4
central area|blocks 112, 113, and 114|most concentrated in|535c32531d304cedbbc36212c94f2cf4
3d seismic survey|15,000 km2|achieves|535c32531d304cedbbc36212c94f2cf4
3d seismic data|reference data|acts as|535c32531d304cedbbc36212c94f2cf4
seismic data quality|evolves with advancing technology|changes due to|535c32531d304cedbbc36212c94f2cf4
previously acquired and processed seismic data|average quality|has|535c32531d304cedbbc36212c94f2cf4
2d seismic data|interpret and link areas|is used to|535c32531d304cedbbc36212c94f2cf4
2d seismic data|interpretation|is used for|885ae2861dad4d389009d4992a896e5b
2d seismic data|regional correlation|is used for|885ae2861dad4d389009d4992a896e5b
3d seismic data|prospective structures|covers|885ae2861dad4d389009d4992a896e5b
3d seismic data|acquisition and processing|is used for|885ae2861dad4d389009d4992a896e5b
seismic acquisition company|positioning system|at|885ae2861dad4d389009d4992a896e5b
seismic acquisition company|projection system|at|885ae2861dad4d389009d4992a896e5b
seismic data|common positioning system|is converted to|885ae2861dad4d389009d4992a896e5b
seismic data|projection system|is converted to|885ae2861dad4d389009d4992a896e5b
seismic data|coordinate system|is transformed to|885ae2861dad4d389009d4992a896e5b
seismic data|phase and time discrepancies|have|885ae2861dad4d389009d4992a896e5b
